messageid,Fulltext,Sender,SenderType,timeReceived,MainText,Url,Subdomain,Domain,TLD,RedirectedURL,Detected,Malicious,Phishing,Suspicious,Malware,Brand,URL Subcategory,Message Categories,FullyQualifiedDomain,Domain Registrar,Domain Creation Date,Domain Last Update
3,"Text Message
Thu, Jul 29, 19:10
Costco: Daniel, the code
42003 printed on your receipt
from 10 came in 2nd in our
Airpods draw: f2gpy.info/
RzNKEws Zve",42003,Short Code,"03/31/2022, 21:58:50","Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve",f2gpy.info/RzNKEwsZve,,f2gpy,info,,0,0,0,0,0,Costco,Random Domain,Prize/Contest,f2gpy.info,"NameCheap, Inc.",7/28/2021,7/31/2021
5,"<
+1 (872) 279-0672 >
Text Message
Wed, Feb 2, 10:42 PM
Hi, you still owe UPS $4.10
USD in customs fees for your
previous package. Reply 1 to
receive a secure link to pay
your invoice.",+1 (872) 279-0672,Phone Number,"04/02/2022, 02:59:56","Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",,,,,,,,,,,UPS,,Delivery,,,,
6,"<
+1 (806) 224-7886 >
Text Message
Thu, Sep 2, 4:39 PM
wel01.us/r/rest05
WELLS FARGO(CS):Profile
locked because of unusual
activities, kindly restore.Reply
STOP to unsubscribe",+1 (806) 224-7886,Phone Number,"04/02/2022, 03:03:00","wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",wel01.us/r/rest05,,wel01,us,https://www.yahoo.com/,0,0,0,0,0,WELLS FARGO,Random Domain,Account Alert,wel01.us,"NameCheap, Inc.",8/30/2021,8/30/2021
7,"Text Message
Today 2:30 PM
who played golf
Hi, are you
together last time? I'm Lisa
ch",,,"04/02/2022, 23:42:38","Hi, are you who played golf together last time? I'm Lisa",,,,,,,,,,,,,Wrong Number/Romance Scam,,,,
8,"(8
+1 (775) 537-4497
canador to them
Tato more
Hi Julianne long time no see, I'm
Aleen, how are you doing
Sent On: 21 MAR 2022 11:07:46
This business account is not in your conta
Block
Add to Contacts",+1 (775) 537-4497,Phone Number,"04/02/2022, 23:46:34","(8 Hi Julianne long time no see, I'm Aleen, how are you doing ",,,,,,,,,,,,,Wrong Number/Romance Scam,,,,
10,"<3
+1 (276) 318-3831
HC
Oct 2, 2021
hi Jessie, it's been a long time
since I came out, what are you
doing recently?
11:12 AM
+
Messages and calls are end-to-end
encrypted. No one outside of this chat, not
even WhatsApp, can read or listen to them.
Tap to learn more.
Go 200 EST
You blocked this contact. Tap to unblock.
Hi",+1 (276) 318-3831,Phone Number,"04/03/2022, 00:14:52","hi Jessie, it's been a long time since I came out, what are you doing recently?",,,,,,,,,,,,,Wrong Number/Romance Scam,,,,
11,"<3
HC
+1 (859) 398-4745
+
Mon, Dec 13
Dear. You are invited to join the
(Bitcoin) internal discussion group.
The team will publish daily how to
make a profit in the Bitcoin market.
Reply to the number ""1"" and click
the link to join.
https://chat.whatsapp.com/
Djci PB8b7gTGGt16QJ5mJm
Messages and calls are end-to-end
encrypted. No one outside of this chat, not
even WhatsApp, can read or listen to them.
Tap to learn more.
11:17 AM
You blocked this contact. Tap to unblock.
Hi",+1 (859) 398-4745,Phone Number,"04/03/2022, 00:16:34","Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm",https://chat.whatsapp.com/Djci PB8b7gTGGt16QJ5mJm,chat,whatsapp,com,https://chat.whatsapp.com/Djci%20PB8b7gTGGt16QJ5mJm?_fb_noscript=1,0,0,0,0,0,Whatsapp,,Advertisement,chat.whatsapp.com,"RegistrarSafe, LLC",9/4/2008,
12,"<
+1 (626) 628-7248 >
O
Text Message
Monday 4:00 PM
CITI: Unauthorized activity was detected,
we have moved foward in locking your
account. Please verify at http://
citibsec.com or at a local branch.
A Text Message
?",+1 (626) 628-7248,Phone Number,"04/03/2022, 00:43:01","CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.",http://citibsec.com,,citibsec,com,,0,0,0,0,0,CITI,Deceptive TLD,Account Alert,citibsec.com,Registermax,5/3/2022,5/3/2022
13,"9:47 1
Siri Found a Contact
Anna
+1 (805) 419-0678
9
+1 (805) 419-0678 >
O° A
Evanie, I'm Anna, how have you been,
I'm back in Denver.
Text Message
Monday 11:51 AM
A *Pay
Text Message
D
(C.
Add
?
X
?
?",+1 (805) 419-0678,Phone Number,"04/03/2022, 01:48:17","Evanie, I'm Anna, how have you been, I'm back in Denver.",,,,,,,,,,,,,Wrong Number/Romance Scam,,,,
14,"<
9:49 1
Hello!
I'm Amy. Are you Annie?
8
+1 (646) 699-9070 >
I'm really sorry. I dialed the wrong
number. And I thought you were my
friend.
O°
Text Message
Tue, Mar 15, 8:06 PM
It was so embarrassing. Have a nice
day.
Thank you. You're a really nice guy,
and today was really awkward, but
IT's nice to meet you as a new friend.
A
A *Pay
Text Message
D
Hello
No
You too
?
?
?",+1 (646) 699-9070,Phone Number,"04/03/2022, 01:50:49","Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",,,,,,,,,,,,,Wrong Number/Romance Scam,,,,
